"ORDER_DATE","PROFIT"
"2003-03-25",6061.27
"2004-02-18",6009.300000000001
"2005-01-10",5757.799999999999
"2004-04-12",5663.0599999999995
"2004-06-14",5644.570000000001
"2005-01-05",5631.5199999999995
"2004-09-03",5604.68
"2003-12-03",5593.08
"2003-07-04",5571.01
"2005-04-07",5551.77
"2003-01-09",5236.740000000001
"2005-01-19",5161.17
"2005-05-30",4983.639999999999
"2004-05-08",4888.43
"2005-02-23",4798.1
"2005-03-28",4784.180000000001
"2003-06-06",4664.75
"2003-03-26",4620.2
"2004-11-22",4562.27
"2004-02-10",4291.339999999998
"2003-01-06",3940.36
"2003-11-19",3908.959999999999
"2005-05-09",3808.13
"2005-03-10",3703.27
"2004-07-02",3606.87
"2003-03-24",3418.1800000000003
"2004-02-09",3316.539999999999
"2003-09-25",3308.17
"2004-03-29",3093.13
"2005-01-07",3063.64
"2003-09-03",3054.7399999999993
"2004-01-22",2845.15
"2004-04-26",2783.2300000000005
"2004-09-27",2600.8100000000004
"2004-07-16",2562.56
"2004-04-03",2480.7900000000004
"2004-02-02",2409.72
"2003-01-10",2135.94
"2004-06-04",2128.3
"2004-06-08",1946.1099999999997
"2005-02-28",1817.03
"2003-10-02",1788.7200000000005
"2004-09-07",1776.8200000000006
"2003-10-08",1603.1200000000003
"2004-10-06",1420.8599999999997
"2003-04-21",1262.1599999999999
"2004-08-04",967.4000000000003
"2003-06-25",921.6000000000001
"2003-04-11",906.12
"2005-02-08",822.1500000000001
"2004-08-28",708.6999999999998
"2004-04-20",679.4200000000001
"2005-04-23",598.5299999999999
"2005-03-02",571.56
"2003-08-13",467.7999999999997
